20:46:20.121 -> Adafruit MPU6050 test!
20:46:21.623 -> Adafruit MPU6050 test!
20:46:21.879 -> MPU6050 Found!
20:46:21.879 -> Accelerometer range set to: +-8G
20:46:21.879 -> Gyro range set to: +- 500 deg/s
20:46:21.879 -> Filter bandwidth set to: 21 Hz
20:46:21.925 -> 
20:46:21.990 -> Acceleration X: -0.20, Y: -6.14, Z: -8.37 m/s^2
20:46:23.223 -> Acceleration X: -0.19, Y: -6.13, Z: -8.35 m/s^2
20:46:23.223 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.223 -> Acceleration X: -0.19, Y: -6.13, Z: -8.32 m/s^2
20:46:23.223 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.223 -> Acceleration X: -0.20, Y: -6.12, Z: -8.33 m/s^2
20:46:23.254 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.254 -> Acceleration X: -0.20, Y: -6.11, Z: -8.35 m/s^2
20:46:23.254 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.254 -> Acceleration X: -0.20, Y: -6.12, Z: -8.33 m/s^2
20:46:23.254 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.254 -> Acceleration X: -0.18, Y: -6.13, Z: -8.32 m/s^2
20:46:23.254 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.254 -> Acceleration X: -0.19, Y: -6.13, Z: -8.32 m/s^2
20:46:23.288 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.288 -> Acceleration X: -0.19, Y: -6.14, Z: -8.33 m/s^2
20:46:23.288 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.288 -> Acceleration X: -0.19, Y: -6.15, Z: -8.32 m/s^2
20:46:23.288 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.288 -> Acceleration X: -0.19, Y: -6.13, Z: -8.32 m/s^2
20:46:23.288 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.288 -> Acceleration X: -0.20, Y: -6.13, Z: -8.35 m/s^2
20:46:23.288 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.320 -> Acceleration X: -0.19, Y: -6.13, Z: -8.34 m/s^2
20:46:23.320 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.320 -> Acceleration X: -0.20, Y: -6.14, Z: -8.35 m/s^2
20:46:23.320 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.320 -> Acceleration X: -0.19, Y: -6.13, Z: -8.34 m/s^2
20:46:23.320 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.320 -> Acceleration X: -0.18, Y: -6.12, Z: -8.34 m/s^2
20:46:23.320 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.354 -> Acceleration X: -0.17, Y: -6.13, Z: -8.35 m/s^2
20:46:23.354 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.354 -> Acceleration X: -0.19, Y: -6.15, Z: -8.38 m/s^2
20:46:23.354 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.354 -> Acceleration X: -0.19, Y: -6.15, Z: -8.36 m/s^2
20:46:23.354 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.354 -> Acceleration X: -0.20, Y: -6.14, Z: -8.33 m/s^2
20:46:23.354 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.354 -> Acceleration X: -0.20, Y: -6.15, Z: -8.36 m/s^2
20:46:23.388 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.388 -> Acceleration X: -0.21, Y: -6.13, Z: -8.37 m/s^2
20:46:23.388 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.388 -> Acceleration X: -0.21, Y: -6.14, Z: -8.35 m/s^2
20:46:23.388 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.388 -> Acceleration X: -0.21, Y: -6.14, Z: -8.34 m/s^2
20:46:23.388 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.388 -> Acceleration X: -0.20, Y: -6.15, Z: -8.34 m/s^2
20:46:23.424 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.424 -> Acceleration X: -0.20, Y: -6.14, Z: -8.36 m/s^2
20:46:23.424 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.424 -> Acceleration X: -0.21, Y: -6.13, Z: -8.37 m/s^2
20:46:23.424 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.424 -> Acceleration X: -0.19, Y: -6.14, Z: -8.34 m/s^2
20:46:23.424 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.424 -> Acceleration X: -0.17, Y: -6.12, Z: -8.31 m/s^2
20:46:23.456 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.456 -> Acceleration X: -0.19, Y: -6.13, Z: -8.33 m/s^2
20:46:23.456 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.456 -> Acceleration X: -0.20, Y: -6.14, Z: -8.33 m/s^2
20:46:23.456 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.456 -> Acceleration X: -0.19, Y: -6.14, Z: -8.32 m/s^2
20:46:23.456 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.456 -> Acceleration X: -0.20, Y: -6.12, Z: -8.33 m/s^2
20:46:23.456 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.456 -> Acceleration X: -0.19, Y: -6.15, Z: -8.33 m/s^2
20:46:23.456 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.487 -> Acceleration X: -0.17, Y: -6.14, Z: -8.36 m/s^2
20:46:23.487 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.487 -> Acceleration X: -0.17, Y: -6.14, Z: -8.36 m/s^2
20:46:23.487 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.487 -> Acceleration X: -0.20, Y: -6.13, Z: -8.34 m/s^2
20:46:23.487 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.487 -> Acceleration X: -0.20, Y: -6.12, Z: -8.35 m/s^2
20:46:23.487 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.487 -> Acceleration X: -0.18, Y: -6.11, Z: -8.34 m/s^2
20:46:23.520 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.520 -> Acceleration X: -0.18, Y: -6.14, Z: -8.33 m/s^2
20:46:23.520 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.520 -> Acceleration X: -0.20, Y: -6.12, Z: -8.36 m/s^2
20:46:23.520 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.520 -> Acceleration X: -0.20, Y: -6.13, Z: -8.34 m/s^2
20:46:23.520 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.554 -> Acceleration X: -0.18, Y: -6.13, Z: -8.33 m/s^2
20:46:23.554 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.554 -> Acceleration X: -0.19, Y: -6.12, Z: -8.35 m/s^2
20:46:23.554 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.554 -> Acceleration X: -0.19, Y: -6.13, Z: -8.35 m/s^2
20:46:23.554 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.554 -> Acceleration X: -0.20, Y: -6.13, Z: -8.34 m/s^2
20:46:23.554 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.589 -> Acceleration X: -0.20, Y: -6.11, Z: -8.32 m/s^2
20:46:23.589 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.589 -> Acceleration X: -0.18, Y: -6.12, Z: -8.36 m/s^2
20:46:23.589 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.589 -> Acceleration X: -0.18, Y: -6.13, Z: -8.36 m/s^2
20:46:23.589 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.589 -> Acceleration X: -0.20, Y: -6.13, Z: -8.35 m/s^2
20:46:23.589 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.589 -> Acceleration X: -0.20, Y: -6.13, Z: -8.36 m/s^2
20:46:23.626 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.626 -> Acceleration X: -0.20, Y: -6.12, Z: -8.34 m/s^2
20:46:23.626 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.626 -> Acceleration X: -0.21, Y: -6.13, Z: -8.34 m/s^2
20:46:23.658 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.658 -> Acceleration X: -0.19, Y: -6.14, Z: -8.33 m/s^2
20:46:23.658 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.658 -> Acceleration X: -0.21, Y: -6.13, Z: -8.34 m/s^2
20:46:23.658 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.658 -> Acceleration X: -0.20, Y: -6.14, Z: -8.35 m/s^2
20:46:23.696 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.696 -> Acceleration X: -0.22, Y: -6.15, Z: -8.36 m/s^2
20:46:23.696 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.696 -> Acceleration X: -0.21, Y: -6.15, Z: -8.35 m/s^2
20:46:23.696 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.696 -> Acceleration X: -0.20, Y: -6.14, Z: -8.33 m/s^2
20:46:23.696 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.696 -> Acceleration X: -0.18, Y: -6.14, Z: -8.35 m/s^2
20:46:23.696 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.696 -> Acceleration X: -0.19, Y: -6.15, Z: -8.34 m/s^2
20:46:23.696 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.731 -> Acceleration X: -0.19, Y: -6.14, Z: -8.36 m/s^2
20:46:23.731 -> Rotation X: 0.04, Y: 0.02, Z: -0.00 rad/s
20:46:23.731 -> Acceleration X: -0.19, Y: -6.13, Z: -8.33 m/s^2
20:46:23.731 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.731 -> Acceleration X: -0.19, Y: -6.14, Z: -8.33 m/s^2
20:46:23.731 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.731 -> Acceleration X: -0.20, Y: -6.12, Z: -8.31 m/s^2
20:46:23.731 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.731 -> Acceleration X: -0.18, Y: -6.12, Z: -8.34 m/s^2
20:46:23.731 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.731 -> Acceleration X: -0.19, Y: -6.12, Z: -8.36 m/s^2
20:46:23.731 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.731 -> Acceleration X: -0.20, Y: -6.13, Z: -8.34 m/s^2
20:46:23.731 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.731 -> Acceleration X: -0.19, Y: -6.13, Z: -8.32 m/s^2
20:46:23.731 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.731 -> Acceleration X: -0.17, Y: -6.12, Z: -8.33 m/s^2
20:46:23.763 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.763 -> Acceleration X: -0.18, Y: -6.13, Z: -8.32 m/s^2
20:46:23.763 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.763 -> Acceleration X: -0.20, Y: -6.12, Z: -8.31 m/s^2
20:46:23.763 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.763 -> Acceleration X: -0.19, Y: -6.14, Z: -8.32 m/s^2
20:46:23.763 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.763 -> Acceleration X: -0.20, Y: -6.14, Z: -8.33 m/s^2
20:46:23.796 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.796 -> Acceleration X: -0.20, Y: -6.13, Z: -8.32 m/s^2
20:46:23.796 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.796 -> Acceleration X: -0.21, Y: -6.14, Z: -8.32 m/s^2
20:46:23.796 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.796 -> Acceleration X: -0.20, Y: -6.14, Z: -8.34 m/s^2
20:46:23.796 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.796 -> Acceleration X: -0.18, Y: -6.13, Z: -8.34 m/s^2
20:46:23.796 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.829 -> Acceleration X: -0.18, Y: -6.12, Z: -8.32 m/s^2
20:46:23.829 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.829 -> Acceleration X: -0.20, Y: -6.14, Z: -8.32 m/s^2
20:46:23.829 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.829 -> Acceleration X: -0.20, Y: -6.14, Z: -8.33 m/s^2
20:46:23.829 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.829 -> Acceleration X: -0.19, Y: -6.13, Z: -8.34 m/s^2
20:46:23.829 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.861 -> Acceleration X: -0.20, Y: -6.13, Z: -8.36 m/s^2
20:46:23.861 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.861 -> Acceleration X: -0.19, Y: -6.11, Z: -8.36 m/s^2
20:46:23.861 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.861 -> Acceleration X: -0.20, Y: -6.13, Z: -8.31 m/s^2
20:46:23.861 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.861 -> Acceleration X: -0.19, Y: -6.13, Z: -8.32 m/s^2
20:46:23.861 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.861 -> Acceleration X: -0.19, Y: -6.13, Z: -8.34 m/s^2
20:46:23.896 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.896 -> Acceleration X: -0.19, Y: -6.13, Z: -8.32 m/s^2
20:46:23.896 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.896 -> Acceleration X: -0.19, Y: -6.13, Z: -8.30 m/s^2
20:46:23.896 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.896 -> Acceleration X: -0.20, Y: -6.13, Z: -8.31 m/s^2
20:46:23.896 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.896 -> Acceleration X: -0.19, Y: -6.13, Z: -8.31 m/s^2
20:46:23.937 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.937 -> Acceleration X: -0.20, Y: -6.14, Z: -8.32 m/s^2
20:46:23.937 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.937 -> Acceleration X: -0.19, Y: -6.14, Z: -8.32 m/s^2
20:46:23.937 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.937 -> Acceleration X: -0.19, Y: -6.14, Z: -8.32 m/s^2
20:46:23.937 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.937 -> Acceleration X: -0.20, Y: -6.13, Z: -8.34 m/s^2
20:46:23.937 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.937 -> Acceleration X: -0.18, Y: -6.13, Z: -8.32 m/s^2
20:46:23.971 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.971 -> Acceleration X: -0.18, Y: -6.13, Z: -8.35 m/s^2
20:46:23.971 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.971 -> Acceleration X: -0.21, Y: -6.13, Z: -8.35 m/s^2
20:46:23.971 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:23.971 -> Acceleration X: -0.21, Y: -6.13, Z: -8.35 m/s^2
20:46:23.971 -> Rotation X: 0.04, Y: 0.02, Z: -0.00 rad/s
20:46:23.971 -> Acceleration X: -0.19, Y: -6.11, Z: -8.35 m/s^2
20:46:24.003 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.003 -> Acceleration X: -0.20, Y: -6.11, Z: -8.34 m/s^2
20:46:24.003 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.003 -> Acceleration X: -0.20, Y: -6.12, Z: -8.33 m/s^2
20:46:24.003 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.003 -> Acceleration X: -0.20, Y: -6.14, Z: -8.35 m/s^2
20:46:24.003 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.003 -> Acceleration X: -0.18, Y: -6.14, Z: -8.34 m/s^2
20:46:24.003 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.003 -> Acceleration X: -0.18, Y: -6.14, Z: -8.36 m/s^2
20:46:24.038 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.038 -> Acceleration X: -0.18, Y: -6.13, Z: -8.34 m/s^2
20:46:24.038 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.038 -> Acceleration X: -0.19, Y: -6.12, Z: -8.33 m/s^2
20:46:24.038 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.038 -> Acceleration X: -0.21, Y: -6.13, Z: -8.34 m/s^2
20:46:24.038 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.038 -> Acceleration X: -0.18, Y: -6.14, Z: -8.33 m/s^2
20:46:24.070 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.070 -> Acceleration X: -0.19, Y: -6.14, Z: -8.35 m/s^2
20:46:24.070 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.070 -> Acceleration X: -0.18, Y: -6.13, Z: -8.33 m/s^2
20:46:24.070 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.070 -> Acceleration X: -0.20, Y: -6.13, Z: -8.33 m/s^2
20:46:24.070 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.070 -> Acceleration X: -0.19, Y: -6.11, Z: -8.35 m/s^2
20:46:24.070 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.103 -> Acceleration X: -0.19, Y: -6.12, Z: -8.35 m/s^2
20:46:24.103 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s

20:46:24.103 -> Acceleration X: -0.20, Y: -6.11, Z: -8.35 m/s^2
20:46:24.103 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.103 -> Acceleration X: -0.19, Y: -6.14, Z: -8.34 m/s^2
20:46:24.103 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.103 -> Acceleration X: -0.19, Y: -6.13, Z: -8.36 m/s^2
20:46:24.103 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.136 -> Acceleration X: -0.19, Y: -6.13, Z: -8.35 m/s^2
20:46:24.136 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.136 -> Acceleration X: -0.18, Y: -6.13, Z: -8.31 m/s^2
20:46:24.136 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.136 -> Acceleration X: -0.18, Y: -6.12, Z: -8.35 m/s^2
20:46:24.136 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.136 -> Acceleration X: -0.18, Y: -6.13, Z: -8.34 m/s^2
20:46:24.136 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.136 -> Acceleration X: -0.21, Y: -6.14, Z: -8.33 m/s^2
20:46:24.170 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.170 -> Acceleration X: -0.19, Y: -6.15, Z: -8.34 m/s^2
20:46:24.170 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.170 -> Acceleration X: -0.18, Y: -6.12, Z: -8.34 m/s^2
20:46:24.170 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.170 -> Acceleration X: -0.20, Y: -6.11, Z: -8.34 m/s^2
20:46:24.170 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.170 -> Acceleration X: -0.20, Y: -6.13, Z: -8.32 m/s^2
20:46:24.203 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.203 -> Acceleration X: -0.20, Y: -6.14, Z: -8.34 m/s^2
20:46:24.203 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.203 -> Acceleration X: -0.20, Y: -6.14, Z: -8.32 m/s^2
20:46:24.203 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.203 -> Acceleration X: -0.20, Y: -6.15, Z: -8.33 m/s^2
20:46:24.203 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.203 -> Acceleration X: -0.19, Y: -6.16, Z: -8.35 m/s^2
20:46:24.203 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.238 -> Acceleration X: -0.18, Y: -6.15, Z: -8.36 m/s^2
20:46:24.238 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.238 -> Acceleration X: -0.19, Y: -6.14, Z: -8.35 m/s^2
20:46:24.238 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.238 -> Acceleration X: -0.20, Y: -6.12, Z: -8.32 m/s^2
20:46:24.238 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.238 -> Acceleration X: -0.18, Y: -6.13, Z: -8.35 m/s^2
20:46:24.238 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.269 -> Acceleration X: -0.21, Y: -6.14, Z: -8.35 m/s^2
20:46:24.269 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.269 -> Acceleration X: -0.20, Y: -6.15, Z: -8.33 m/s^2
20:46:24.269 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.269 -> Acceleration X: -0.20, Y: -6.13, Z: -8.32 m/s^2
20:46:24.269 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.269 -> Acceleration X: -0.19, Y: -6.12, Z: -8.35 m/s^2
20:46:24.269 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.269 -> Acceleration X: -0.20, Y: -6.12, Z: -8.33 m/s^2
20:46:24.269 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.303 -> Acceleration X: -0.20, Y: -6.13, Z: -8.35 m/s^2
20:46:24.303 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.303 -> Acceleration X: -0.18, Y: -6.11, Z: -8.36 m/s^2
20:46:24.303 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.303 -> Acceleration X: -0.21, Y: -6.14, Z: -8.36 m/s^2
20:46:24.303 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.303 -> Acceleration X: -0.20, Y: -6.13, Z: -8.35 m/s^2
20:46:24.303 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.336 -> Acceleration X: -0.21, Y: -6.12, Z: -8.37 m/s^2
20:46:24.336 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.336 -> Acceleration X: -0.22, Y: -6.13, Z: -8.36 m/s^2
20:46:24.336 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.336 -> Acceleration X: -0.21, Y: -6.12, Z: -8.33 m/s^2
20:46:24.336 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.336 -> Acceleration X: -0.20, Y: -6.13, Z: -8.33 m/s^2
20:46:24.336 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.336 -> Acceleration X: -0.21, Y: -6.14, Z: -8.32 m/s^2
20:46:24.369 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.369 -> Acceleration X: -0.19, Y: -6.15, Z: -8.32 m/s^2
20:46:24.369 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.369 -> Acceleration X: -0.20, Y: -6.15, Z: -8.32 m/s^2
20:46:24.369 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.369 -> Acceleration X: -0.19, Y: -6.11, Z: -8.34 m/s^2
20:46:24.369 -> Rotation X: 0.04, Y: 0.02, Z: -0.00 rad/s
20:46:24.369 -> Acceleration X: -0.19, Y: -6.11, Z: -8.33 m/s^2
20:46:24.403 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.403 -> Acceleration X: -0.20, Y: -6.12, Z: -8.32 m/s^2
20:46:24.403 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.403 -> Acceleration X: -0.21, Y: -6.13, Z: -8.34 m/s^2
20:46:24.403 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.403 -> Acceleration X: -0.20, Y: -6.11, Z: -8.34 m/s^2
20:46:24.403 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.403 -> Acceleration X: -0.19, Y: -6.12, Z: -8.35 m/s^2
20:46:24.438 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.438 -> Acceleration X: -0.18, Y: -6.13, Z: -8.35 m/s^2
20:46:24.438 -> Rotation X: 0.04, Y: 0.02, Z: -0.00 rad/s
20:46:24.438 -> Acceleration X: -0.20, Y: -6.12, Z: -8.33 m/s^2
20:46:24.438 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.438 -> Acceleration X: -0.19, Y: -6.14, Z: -8.35 m/s^2
20:46:24.438 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.438 -> Acceleration X: -0.19, Y: -6.14, Z: -8.34 m/s^2
20:46:24.438 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
20:46:24.472 -> Acceleration X: -0.20, Y: -6.13, Z: -8.34 m/s^2
20:46:24.472 -> Rotation X: 0.04, Y: 0.02, Z: 0.00 rad/s
